Drug Name,SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fm_in_vitro,fu_in_vitro,Clearance,CYP450_Enzyme
arbekacin,C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)NC(=O)[C@H](CCN)O)N)N,552.622,,,,,,,,65.75,
furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,330.75,,3.9,0.001,,0.495,,,1.1199999999999999,
halofantrine,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O,500.429,8.86,,,,,,,0.42,
lithium,[Li],6.941,,,,,0.0,,,0.22999999999999998,
sulfadoxine and pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl.COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N,,,,,,0.9,,,,
sulpiride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,341.4,,,,,,,,249.5,
cefixime,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,453.454,,,,,0.34,,,0.75,
p-aminohippuric acid (PAH),C1=CC(=CC=C1C(=O)NCC(=O)O)N,194.189,,,,,,,,338.5,
quinidine,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,324.422,,,,,0.45,,,3.25,
thiabendazole,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,201.252,2.47,4.64,50000.0,,,,,,
zidovudine,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],267.244,,,,,0.38,,,1.1,
captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,217.288,,,,,0.25,,,12.0,
methylprednisolone,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,374.474,1.9,,,,0.405,,,3.5500000000000003,CYP450_3a4_substrate
hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,297.742,,,,,0.375,,,3.0,
nicardipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,479.53,3.82,,,,0.9875,,,6.75,
propafenone,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,341.448,,8.8,1.0,,0.9,,,12.5,
naloxone,C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,327.378,,,,,,,,22.0,
miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,416.134,5.3,,,,,,,,
fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,309.33,,,,,0.945,,,8.25,CYP450_3a4_substrate
ceforanide,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3CN)C(=O)O)CSC4=NN=NN4CC(=O)O,519.5609,,,,,0.81,,,30.8,
flupirtine,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,304.3233,,,,,,,,275.0,
"theophylline (1,3-DMX)",CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.166,-0.02,8.81,7360000.0,4.35,0.3,,,0.42500000000000004,CYP450_3a4_inhibitor
thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,258.232,,,,,0.6,,,1.3,
hydralazine,C1=CC=C2C(=C1)C=NN=C2NN,160.179,,,,,0.87,,,34.5,
digoxin,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,780.943,,,,1.0,0.15,,,77.5,CYP450_3a4_substrate
Sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,398.3976,2.5,3.23,,,0.993,,,0.24,
roxithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,837.05,,,,,0.9,,,1.85,
"caffeine (1,3,7-TMX)",CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.1906,,,,,0.305,,,40.0,
ramipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,416.515,,,90.0,,0.375,,,23.0,
aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,232.281,,,1.0,,0.25,,,3.75,
nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,309.403,,,,,0.3,,,,
ethinylestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,296.408,3.7649999999999997,10.33,3.0,,0.97,,,2.079,
sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,253.281,0.7949999999999999,1.0,0.001,,0.29,,,0.19,
amiloride,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,229.63,,,,,0.25,,,,
amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,365.408,,,,,0.18,,,1.5,
clonazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,315.715,,,,,0.4325,,,0.915,CYP450_3a4_substrate
diltiazem,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,414.523,,,,,0.405,,,7.0,CYP450_3a4_substrate
cifenline (cibenzoline),C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,262.354,,,,,,,,5.63,
omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,345.42,2.2,,0.2,,0.95,0.71,0.03,550.0,CYP450_3a4_substrate
ganciclovir,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,255.233,,,,,0.015,,,3.1999999999999997,
acetaminophen (paracetamol),CC(=O)NC1=CC=C(C=C1)O,151.16,,,,,0.2,,,0.08,CYP450_3a4_substrate
lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,259.2637,,,,,,,,240.0,
opicapone,CC1=C(C(=[N+](C(=C1Cl)C)[O-])Cl)C2=NOC(=N2)C3=CC(=C(C(=C3)O)O)[N+](=O)[O-],413.172,,,1.0,3.5,0.99,,,,
risedronate,C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,305.1,,,,,0.24,,,122.0,
astemizole,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,458.578,,,,,0.615,,,90.0,
esuberaprost,CC#CC[C@H](C)[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C3=CC=CC(=C3O2)CCCC(=O)O)O)O,398.496,,,,,,,,79.5,
p-aminohippuric acid (PAH),C1=CC(=CC=C1C(=O)NCC(=O)O)N,194.189,,,,,,,,338.5,
sulpiride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,341.4,,,,,,,,249.5,
SPR741,C[C@H]([C@H]1C(=O)NCC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCN)CCN)CC(C)C)CC2=CC=CC=C2)CCN)NC(=O)[C@@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)C)O,,,,,,,,,2.65,
trovafloxacin,C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,416.358,,,,,0.85,,,0.81,
digoxin,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,780.943,,,,1.0,0.15,,,77.5,CYP450_3a4_substrate
odanacatib,CC(C)(C[C@@H](C(=O)NC1(CC1)C#N)N[C@@H](C2=CC=C(C=C2)C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F)F,525.5643,,,,,,,,0.8,
carbidopa,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,226.23,,,,,,,,12.5,
desmethylcitalopram,CNCCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,,,,,,0.74,,,,
atovaquone,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,,,,,,0.9990000000000001,,,0.12,
ezetimibe glucuronide,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O,,,,,,0.9,,,,
pyrazoloacridine,CN(C)CCCN1C2=C3C(=C(C=C2)[N+](=O)[O-])NC4=C(C3=N1)C=C(C=C4)OC,367.4069,,,,,,,,1654.5,
BIBF 1120,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O,539.6327,,,,,,,,16.0,
cilengitide,CC(C)[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](C(=O)N1C)CC2=CC=CC=C2)CC(=O)O)CCCN=C(N)N,588.662,,,,,,,,61.5,
fenebrutinib,C[C@H]1CN(CCN1C2=CN=C(C=C2)NC3=CC(=CN(C3=O)C)C4=C(C(=NC=C4)N5CCN6C7=C(CC(C7)(C)C)C=C6C5=O)CO)C8COC8,664.8066,3.3,1.0,,15.1,,,,80.0,
hydromorphone,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,285.341,,,,,0.071,,,11.1,CYP450_3a4_substrate
silodosin,C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,495.53,,,,3.007,0.97,,,10.0,CYP450_3a4_substrate
olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,434.46,1.49,1.25,0.13,2.005,0.82,0.973,0.089,5.65,CYP450_3a4_substrate
talinolol,CC(C)(C)NCC(COC1=CC=C(C=C1)NC(=O)NC2CCCCC2)O,363.499,2.89,15.17,0.25,,,,,613.5,
atomoxetine,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,291.82,,,27.8,,0.98,,,0.373,
ticlopidine,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,263.791,2.9,6.94,100.0,,0.98,,,34.0,
furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,330.75,,3.9,0.001,,0.495,,,1.1199999999999999,
GLPG0259,CC(C)(C)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(N4C3=NC=N4)C5=COC(=C5)C(=O)N,458.5234,,,,,,,,8.89,
acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,353.3285,,,,,0.987,,,,
epirubicin,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,543.522,,,,,0.77,,,28.5,CYP450_3a4_substrate
brofaromine,COC1=CC(=C2C(=C1)C=C(O2)C3CCNCC3)Br,310.189,,,,,,,,8.4,
pentobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,226.2742,,,,,0.05,,,,
lumefantrine,CCCCN(CCCC)CC(C1=CC(=CC\2=C1C3=C(/C2=C/C4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O,528.9478,8.7,,,,0.997,,,0.63,
cefuroxime axetil,CC(OC(=O)C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/C3=CC=CO3)COC(=O)N,,,,,,0.195,,,0.94,
delavirdine,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,456.568,,,,,0.976,,,12.05,CYP450_3a4_substrate
penbutolol,CC(C)(C)NC[C@@H](COC1=CC=CC=C1C2CCCC2)O,291.432,,,,,0.89,,,,
phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,232.2,,,,,0.27,,,0.0375,
ulifloxacin,CC1N2C3=CC(=C(C=C3C(=O)C(=C2S1)C(=O)O)F)N4CCNCC4,349.379943,,,,,0.23,,,103.55,
oxaprozin,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,293.32,,,,,0.99,,,,
peficitinib,C1[C@@H]2CC3(C[C@@H](C2NC4=C5C=CNC5=NC=C4C(=O)N)CC1C3)O,326.3978,,,0.1,,0.76,,,59.78,
acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,336.4,,,,,0.175,,,0.63,CYP450_3a4_inhibitor
topotecan,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,421.451,,,,,,,,16.35,CYP450_3a4_substrate
omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,345.42,2.2,,0.2,,0.95,0.71,0.03,550.0,CYP450_3a4_substrate
modafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,273.354,1.7,,1.0,,0.6,,,0.525,
etoposide,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,588.559,,,,,0.48200000000000004,,,2.505,CYP450_3a4_substrate
netilmicin,CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N,475.5829,,,,,,,,38.57,
piperacillin,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,517.56,,,,,0.3,,,14.4,
O(6)-benzylguanine,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N,241.253,,9.35,,,,0.75,,330.5,
allitinib,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=C(C=C3)OCC4=CC(=CC=C4)F)Cl,448.8767,,,,,,,,5130.0,
digitoxin,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,764.944,,,,,0.484,,,0.0295,
asenapine,CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,285.7724,,8.6,3.7,,0.013000000000000001,,,51.9,CYP450_3a4_substrate
torsemide,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,348.425,,7.1,,,0.99,,,33.5,
manidipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC,610.7072,5.18,,,,0.99,,,,
AZD5069,C[C@H]([C@H](CO)O)OC1=NC(=NC(=C1)NS(=O)(=O)N2CCC2)SCC3=C(C(=CC=C3)F)F,476.5179,,,,,0.99,,,9.0,
senkyunolide I,CCC/C=C\1/C2=C([C@@H]([C@H](CC2)O)O)C(=O)O1,224.2544,,,,,,,,0.422,
roxadustat,CC1=C2C=C(C=CC2=C(C(=N1)C(=O)NCC(=O)O)O)OC3=CC=CC=C3,352.3444,3.13,2.75,,,0.99,,,1.1,
fusidic acid,C[C@H]1[C@@H]2CC[C@]3([C@H]([C@]2(CC[C@H]1O)C)[C@@H](C[C@@H]\4[C@@]3(C[C@@H](/C4=C(/CCC=C(C)C)\C(=O)O)OC(=O)C)C)O)C,516.714,,,,,0.998,,,0.5,
canagliflozin,CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,444.5205,,,,,,,,1.425,CYP450_3a4_substrate
desidustat,C1CC1CON2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O,332.308,,,,,,,,1388.458,
clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.701,,,,,0.49050000000000005,,,0.1,
rofecoxib,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,314.36,,,,,0.87,,,1.7,
(S)-cetirizine,C1CN(CCN1CCOCC(=O)O)[C@@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl,388.9,,,,,0.43550000000000005,,,53.879999999999995,
ondansetron,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,293.37,,,,,0.375,,,4.25,CYP450_3a4_substrate
naftopidil,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O,392.496,,,,,,,,95.55,
midodrine,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,290.7,,,,,,,,385.0,
levorphanol,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O,257.375,,,,,0.215,,,,
fulvestrant,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,606.8,,,,,0.99,,,11.8,CYP450_3a4_substrate
siponimod,CCC1=C(C=CC(=C1)/C(=N/OCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)/C)CN4CC(C4)C(=O)O,516.6005,,,,,0.9990000000000001,,,3.11,CYP450_3a4_substrate
dinaciclib,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@H]4CCO,396.4922,,,,,0.858,,,,
cocaine,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC,,,,,,0.91,,,19.0,
avibactam,C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)N,265.2449,,,,,,,,9.88,
alendronate,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,249.096,,,,,0.78,,,,
deleobuvir,CN1C2=C(C=CC(=C2)C(=O)NC3(CCC3)C4=NC5=C(N4C)C=C(C=C5)/C=C/C(=O)O)C(=C1C6=NC=C(C=N6)Br)C7CCCC7,653.5777,,,,,,,,319.0,
thiopental,CCCC(C)C1(C(=O)NC(=S)NC1=O)CC,,,,,,0.445,,,2.55,
escitalopram,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,324.3969,,,,,0.56,,,24.549999999999997,CYP450_3a4_substrate
propafenone,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,341.448,,8.8,1.0,,0.9,,,12.5,
glecaprevir,CC1(CC1)S(=O)(=O)NC(=O)[C@]2(C[C@H]2C(F)F)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)O[C@@H]5CCC[C@H]5OC/C=C/C(C6=NC7=CC=CC=C7N=C6O4)(F)F)C(C)(C)C,838.87,,,,1.4,0.975,,,1150.0,
erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,393.441,,,,,0.9,,,4.795,
"theophylline (1,3-DMX)",CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.166,-0.02,8.81,7360000.0,4.35,0.3,,,0.42500000000000004,CYP450_3a4_inhibitor
eszopiclone,CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,388.8133,,,,,0.555,,,,CYP450_3a4_substrate
clopidogrel carboxylic acid,C1CN(CC2=C1SC=C2)C(C3=CC=CC=C3Cl)C(=O)O,307.792,,,,,,,,4.975,
ABT-510,CCC[C@@H](C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]([C@@H](C)CC)NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)CN(C)C(=O)C,994.2417,,,,,,,,17.7,
carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,406.479,4.19,7.47,,1.94,0.95,,,5.199999999999999,CYP450_3a4_substrate
elbasvir,CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC4=C(C=C3)N5[C@@H](OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)[C@@H]8CCCN8C(=O)[C@H](C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC,882.02,,,0.001,,0.9990000000000001,,,,
etelcalcetide,C[C@H](C(=O)N[C@H](CCCN=C(N)N)C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](C)NC(=O)[C@@H](CSSC[C@@H](C(=O)O)N)NC(=O)C,1048.2637,,,,,0.47,,,7.66,CYP450_3a4_substrate
ciprofibrate,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,289.1566,,,,,0.99,,,,
KW-7158,C[C@](C(=O)NC1=C2C(=CC=C1)S(=O)(=O)CC3=C(C2=O)SC=C3)(C(F)(F)F)O,,,,,,,,,15.2,
chlormethiazole,CC1=C(SC=N1)CCCl,161.6552,,,,,0.692,,,185.85000000000002,
midostaurin,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,570.646,5.5,,0.001,2.0,0.998,,,3.4,CYP450_3a4_substrate
cabozantinib,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,501.5,,,0.001,,0.997,,,4.4,CYP450_3a4_substrate
felbamate,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,238.242,,,,,0.235,,,0.315,CYP450_3a4_substrate
etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,358.848,,,,,0.92,,,36.0,
bunazosin,CCCC(=O)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,373.4543,,,,,0.97,,,,
entacapone,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,305.289,,,,,0.98,,,6.0200000000000005,
obeticholic acid,CC[C@@H]1[C@@H]2C[C@@H](CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3[C@@H]1O)CC[C@@H]4[C@H](C)CCC(=O)O)C)C)O,420.63,5.11,4.76,7.0,8.0,0.99,,,,CYP450_3a4_substrate
clevidipine,CCCC(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,456.3197,,,,,0.995,,,0.142,
busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,246.303,,,,,0.08349999999999999,,,2.7,
oxprenolol,CC(C)NCC(COC1=CC=CC=C1OCC=C)O,265.351,,,,,0.8,,,,
morinidazole,CC1=NC=C(N1CC(CN2CCOCC2)O)[N+](=O)[O-],270.139,,,,,,,,0.82,
hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,335.8764,,9.67,100.0,,,,,96.0,
chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,304.215,,,,,0.99,,,1.3,
paliperidone (9-hydroxyrisperidone),CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,426.489,,,,,0.74,,,53.0,CYP450_3a4_substrate
cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,261.087,,,,,0.13,,,0.9,CYP450_3a4_substrate
carbazeran,CCNC(=O)OC1CCN(CC1)C2=NN=CC3=CC(=C(C=C32)OC)OC,360.412,1.83,8.6,,,,0.98,,,
lovastatin acid,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)C,422.558,3.5,,,,0.95,,,,
cyclizine,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,,,,,,0.66,,,,
chlormadinone acetate,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C,404.931,,,,,0.98,,,,
pilocarpine,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C,208.2594,,,,,,,,,
ACT-451840,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)CN([C@@H](CC3=CC=CC=C3)C(=O)N4CCN(CC4)CC5=CC=C(C=C5)C#N)C(=O)/C=C/C6=CC=C(C=C6)C(C)(C)C,750.9826,5.2,,7.0,,,,,,
diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,250.199,,,0.001,,0.99,,,4.2,
rilpivirine,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)/C=C/C#N,366.4,4.32,1.0,0.001,12.0,0.997,,,11.8,CYP450_3a4_substrate
