Drug Name	SMILES	molecular_weight	permeability	plasma_protein_binding	fu_in_vitro
ursodeoxycholic acid (ursodiol)	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	392.576 g/mol		70	
solifenacin	C1CN2CCC1[C@H](C2)OC(=O)N3CCC4=CC=CC=C4[C@@H]3C5=CC=CC=C5	362.4704 g/mol		98	
laropiprant	CS(=O)(=O)C1=CC(=CC2=C1N(C3=C2CC[C@@H]3CC(=O)O)CC4=CC=C(C=C4)Cl)F	435.9 g/mol		99.6	
pacritinib	C1CCN(C1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2	472.5858 g/mol	15.5	98.8	0.69
etonogestrel (3-keto-desogestrel)	CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34			96.7	
hydralazine	C1=CC=C2C(=C1)C=NN=C2NN	160.179 g/mol		87	
trabectedin	CC1=CC2=C([C@@H]3[C@@H]4[C@H]5C6=C(C(=C7C(=C6[C@@H](N4[C@H]([C@H](C2)N3C)O)COC(=O)[C@@]8(CS5)C9=CC(=C(C=C9CCN8)O)OC)OCO7)C)OC(=O)C)C(=C1OC)O	761.84 g/mol		97.5	
amsacrine	COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42	393.465 g/mol		97	
ipragliflozin	C1=CC=C2C(=C1)C=C(S2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)F	404.4559 g/mol		95.55	
octreotide	C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)C(=O)N[C@H](CO)[C@@H](C)O)O	1019.2 g/mol		65	
lamivudine	C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N	229.2589 g/mol		36	
solriamfetol	C1=CC=C(C=C1)C[C@H](COC(=O)N)N	194.2326 g/mol		16.35	
spironolactone	CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C	416.579 g/mol		90	
AZD1305	CC(C)(C)OC(=O)NCCN1CC2CN(CC(C1)O2)CCOC3=C(C=C(C=C3)C#N)F	434.5089 g/mol		0.53	
thioridazine	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC	370.5824 g/mol			
tofacitinib	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	312.37 g/mol		40	
sulfadoxine and pyrimethamine	CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl.COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N				
gabapentin	C1CCC(CC1)(CC(=O)O)CN	171.238 g/mol		3	
azilsartan	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O	456.456 g/mol		99	
ribavirin	C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N	244.206 g/mol		0	
buspirone	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4	385.509 g/mol		95	
cefetamet	CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O	397.435 g/mol		22	
lamotrigine	C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N	256.095 g/mol		56	
meperidine	CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2	247.33 g/mol		58	
perhexiline	C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3	277.492 g/mol		90	
itraconazole	CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl	705.643 g/mol		99.8	
haloperidol	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	375.869 g/mol		92	
terbinafine	CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21	327.90 g/mol		99	
sulfaphenazole	C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N				
tetracycline	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	444.4376 g/mol		65	
5-fluorouracil	C1=C(C(=O)NC(=O)N1)F	130.078 g/mol		10	
cilastatin	CC1(C[C@@H]1C(=O)N/C(=C\CCCCSC[C@@H](C(=O)O)N)/C(=O)O)C	358.4564 g/mol		40	
triamterene	C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N	253.268 g/mol		61	
digitoxin	C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O	764.944 g/mol		95.6	
sotalol	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O	272.367 g/mol			
guanfacine	C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl	282.55 g/mol		70	
mexiletine	CC1=C(C(=CC=C1)C)OCC(C)N	179.261 g/mol		63	
pimozide	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F	461.5531 g/mol	12	99	
naproxen (S-naproxen)	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	230.2616 g/mol		99.7	
acebutolol	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C	336.4 g/mol		17.5	
(S)-mephenytoin	CC[C@@]1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2	218.2 g/mol		30	
ketoconazole	CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@@H]3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl	531.437 g/mol		99	
quinine	COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O	324.422 g/mol		87.5	
metformin	CN(C)C(=N)N=C(N)N	129.16 g/mol			
imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	280.413 g/mol		90.1	
metoprolol	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O	267.366 g/mol		11	
nafcillin	CCOC1=C(C2=CC=CC=C2C=C1)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O	414.4798 g/mol		89.9	
tolbutamide	CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C	270.351 g/mol		93.5	
vancomycin	C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O	1449.26 g/mol		30	
colchicine	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	399.44 g/mol		39	
ceftazidime	CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]	636.6 g/mol		10	
lisinopril	C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O	405.492 g/mol		0	
azapropazone	CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C	300.36 g/mol		99.575	
nitrendipine	CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C	360.364 g/mol		98	
trimethoprim	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	290.321 g/mol		44	
phenytoin	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3	252.2718 g/mol		89	
theophylline	CN1C2=C(C(=O)N(C1=O)C)NC=N2	180.166 g/mol		56	
methotrexate	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	454.445 g/mol		46	
vincristine	CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	824.966 g/mol			
cimetidine	CC1=C(N=CN1)CSCCNC(=NC)NC#N	252.34 g/mol	30	19	
flumazenil	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C			40	
acitretin	CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC	326.44 g/mol		99.9	
gallopamil	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC	484.633 g/mol		93	
ketanserin	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O	395.4318 g/mol		94	
rifampin	C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C	822.947 g/mol	12	75	
amikacin	C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N	585.604 g/mol		4	
chlorpromazine	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	318.87 g/mol		96.5	
bisoprolol	CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O	325.446 g/mol		30	
clomipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl	314.858 g/mol		97	
timolol	CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O	316.42 g/mol	159	10	
doxazosin	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC	451.48 g/mol		99	
famotidine	C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N	337.43 g/mol		17.5	
etodolac	CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O	287.357 g/mol		94	
isoniazid	C1=CN=CC=C1C(=O)NN	137.141 g/mol		0	
acetylsalicylic acid (aspirin)	CC(=O)OC1=CC=CC=C1C(=O)O	180.1582 g/mol		49	
dronabinol (delta-(9)-tetrahydrocannabinol)	CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O	314.466 g/mol			
cannabidiol	CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O	314.466 g/mol		94	
cefonicid	C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)O)C(=O)O)CSC4=NN=NN4CS(=O)(=O)O	542.572 g/mol		98	
ketoprofen	CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O	254.284 g/mol		99	
chlorpheniramine	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2	274.79 g/mol		70	
tauroursodeoxycholic acid	C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	499.7085 g/mol		98.5	
methylnaltrexone	C[N+]1(CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6	356.4394 g/mol		13.15	
fingolimod	CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N	307.4747 g/mol		99.7	
tofogliflozin	CCC1=CC=C(C=C1)CC2=CC3=C(CO[C@@]34[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C2	386.4414 g/mol		84	
celecoxib	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F			97	
desloratadine	C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4	310.8 g/mol		84.5	
(S)-methamphetamine (metamfetamine)	C[C@@H](CC1=CC=CC=C1)NC	149.2355 g/mol		15	
dronedarone	CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC	556.764 g/mol	0.595	98	
ezogabine (retigabine)	CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N	303.335 g/mol	9.45	80	
telcagepant	C1C[C@H](C(=O)N(C[C@@H]1C2=C(C(=CC=C2)F)F)CC(F)(F)F)NC(=O)N3CCC(CC3)N4C5=C(NC4=O)N=CC=C5	566.5283 g/mol		94.7	
temafloxacin	CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F	417.385 g/mol		25	
mipomersen	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])S[C@H]3C[C@@H](O[C@@H]3COP(=O)([O-])S[C@H]4C[C@@H](O[C@@H]4COP(=O)([O-])S[C@H]5C[C@@H](O[C@@H]5COP(=O)([O-])S[C@H]6C[C@@H](O[C@@H]6COP(=O)([O-])S[C@H]7C[C@@H](O[C@@H]7COP(=O)([O-])S[C@H]8C[C@@H](O[C@@H]8COP(=O)([O-])S[C@H]9C[C@@H](O[C@@H]9COP(=O)([O-])S[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=O)([O-])S[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=O)NC1=O)C)COP(=O)([O-])S[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=O)([O-])S[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=O)([O-])S[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=NC2=C1N=C(NC2=O)N)CO)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=C(C(=NC1=O)N)C)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=NC1=O)N)C)SP(=O)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=C(C(=O)NC1=O)C)SP(=O)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=C(C(=NC1=O)N)C)SP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)SP(=O)([O-])OC[C@H]1[C@@H]([C@@H]([C@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)SP(=O)([O-])OC[C@H]1[C@@H]([C@@H]([C@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)SP(=O)([O-])OC[C@H]1[C@@H]([C@@H]([C@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)SP(=O)([O-])OC[C@H]1[C@@H]([C@@H]([C@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)O	7594.9 g/mol		90	
ixazomib	B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O	517.12 (ixazomib citrate) g/mol		99	
triclabendazole	CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl	359.663 g/mol		96.7	
luliconazole	C1[C@H](S/C(=C(\C#N)/N2C=CN=C2)/S1)C3=C(C=C(C=C3)Cl)Cl	354.28 g/mol		99	
grazoprevir	CC(C)(C)[C@H]1C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCC[C@@H]7C[C@H]7OC(=O)N1	766.90 g/mol		98.8	
fidaxomicin	CC[C@H]1/C=C(/[C@H](C/C=C/C=C(/C(=O)O[C@@H](C/C=C(/C=C(/[C@@H]1O[C@H]2[C@H]([C@H]([C@@H](C(O2)(C)C)OC(=O)C(C)C)O)O)\C)\C)[C@@H](C)O)\CO[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)\C	1058.04 g/mol			
bupropion	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	239.744 g/mol		84	
diazepam	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3	284.7447 g/mol		98.7	
artemether and lumefantrine	CCCCN(CCCC)CC(C1=CC(=CC\2=C1C3=C(/C2=C/C4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O.C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CCC(O3)(OO4)C)OC)C				
crizotinib	C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	450.3 g/mol		91	
mebendazole	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3	295.297 g/mol		95	
lenvatinib	COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl	426.8581 g/mol		98.5	
sotrastaurin	CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65	438.4888 g/mol	3.3		
drospirenone	C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C	366.498 g/mol		96	
"caffeine (1,3,7-TMX)"	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	194.1906 g/mol		30.5	
levomepromazine (methotrimeprazine)	C[C@@H](CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C	328.478 g/mol		94.4	
caspofungin	CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](CCN)O)O)NCCN)O	1093.32 g/mol		97	
dihydroartemisinin	C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C	284.35 g/mol		61.5	
cinacalcet	C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F	357.417 g/mol	3.2	95	
risperidone	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	410.49 g/mol		90	
nifurtimox	CC1CS(=O)(=O)CCN1/N=C/C2=CC=C(O2)[N+](=O)[O-]	287.2947 g/mol		42	
tizanidine	C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl	253.716 g/mol		30	
linezolid	CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F	337.35 g/mol		31	
liraglutide	CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CC6=CN=CN6)N)C(=O)O	3751.2355 g/mol		98	
tafenoquine	CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC	463.5 g/mol		99.5	
diclofenac	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	296.152 g/mol		99.5	
xanomeline	CCCCCCOC1=NSN=C1C2=CCCN(C2)C	281.42 g/mol	4.15	95	
tipiracil	C1CC(=N)N(C1)CC2=C(C(=O)NC(=O)N2)Cl	279.12 g/mol		8	
tacrolimus	C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC	804.024 g/mol		87	
linagliptin	CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C	472.5502 g/mol	3.56	89.5	
ticagrelor	CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F	522.5742 g/mol		99	
daprodustat	C1CCC(CC1)N2C(=O)C(C(=O)N(C2=O)C3CCCCC3)C(=O)NCC(=O)O	393.4373 g/mol		99.4	0.004
oltipraz	CC1=C(SSC1=S)C2=NC=CN=C2				
trimetazidine	COC1=C(C(=C(C=C1)CN2CCNCC2)OC)OC	266.3388 g/mol		16	
bromazepam	C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3	316.157 g/mol		75	
monomethyl auristatin E	CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@H](C)[C@H](C2=CC=CC=C2)O)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC	717.9863 g/mol		75.05	
ulipristal	CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O	475.62 g/mol		94	
boceprevir	CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C	519.6825 g/mol		75	
isradipine	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC	371.391 g/mol		97	
zonisamide	C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N	212.23 g/mol		39	
"didanosine (2',3'-dideoxyinosine)"	C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O	236.23 g/mol		5	
tacrine	C1CCC2=NC3=CC=CC=C3C(=C2C1)N	198.268 g/mol		75	
tazarotenic acid	CC1(CCSC2=C1C=C(C=C2)C#CC3=NC=C(C=C3)C(=O)O)C	323.414 g/mol		99	
artesunate	C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C	384.4222 g/mol		93	
aprepitant	C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F	534.43 g/mol		95	
ivosidenib	C1CC(=O)N([C@@H]1C(=O)N(C2=CC(=CN=C2)F)[C@@H](C3=CC=CC=C3Cl)C(=O)NC4CC(C4)(F)F)C5=NC=CC(=C5)C#N	582.96 g/mol		94	
rifamycin	C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C	697.7733 g/mol		80	
finasteride	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C	372.549 g/mol		90	
baricitinib	CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	371.42 g/mol		50	
trospium	C1CC[N+]2(C1)[C@@H]3CC[C@H]2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O	392.5 g/mol		80	
midecamycin acetate (miocamycin)	CCC(=O)O[C@@H]1CC(=O)O[C@@H](C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]1OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)OC(=O)CC)(C)OC(=O)C)N(C)C)O)CC=O)C)OC(=O)C)C	898.046 g/mol		47	
sonidegib	C[C@@H]1CN(C[C@@H](O1)C)C2=NC=C(C=C2)NC(=O)C3=CC=CC(=C3C)C4=CC=C(C=C4)OC(F)(F)F	681.49 (phosphate form) g/mol	4.58	97	
cobimetinib	C1CCN[C@@H](C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O	531.3 g/mol		95	
nintedanib	CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O	539.6327; 649.76 (ethanesulfonate) g/mol		97.8	
